frame,t_detik,occupancy,masuk,keluar,id_kumulatif
345,23.0,1,0,1,17
346,23.07,1,0,1,17
347,23.13,1,0,1,17
348,23.2,1,0,1,17
349,23.27,1,0,1,17
350,23.33,1,0,1,17
351,23.4,1,0,1,17
352,23.47,1,0,1,17
353,23.53,1,0,1,17
354,23.6,1,0,1,17
355,23.67,1,0,1,17
356,23.73,1,0,1,17
357,23.8,1,0,1,17
358,23.87,1,0,1,17
359,23.93,1,0,1,17
360,24.0,2,0,1,18
361,24.07,2,0,1,18
362,24.13,1,0,1,18
363,24.2,2,0,1,18
364,24.27,3,0,1,19
365,24.33,1,0,1,19
366,24.4,1,0,1,19
367,24.47,2,0,1,19
368,24.53,2,0,1,19
369,24.6,1,0,1,19
370,24.67,1,0,1,19
371,24.73,1,0,1,19
372,24.8,2,0,1,19
373,24.87,2,0,1,19
374,24.93,1,0,1,19
375,25.0,0,0,1,19
376,25.07,1,0,1,19
377,25.13,1,0,1,20
378,25.2,2,0,1,20
379,25.27,2,0,1,20
380,25.33,2,0,1,20
381,25.4,1,0,1,20
382,25.47,2,0,1,20
383,25.53,2,0,1,20
384,25.6,2,0,1,21
385,25.67,1,0,1,21
386,25.73,1,0,1,21
387,25.8,1,0,1,21
388,25.87,1,0,1,21
389,25.93,2,0,1,21
390,26.0,2,0,1,21
391,26.07,0,0,1,21
392,26.13,1,0,1,21
393,26.2,1,0,1,21
394,26.27,1,0,1,21
395,26.33,3,0,1,21
396,26.4,3,0,1,22
397,26.47,2,0,1,22
398,26.53,2,0,1,22
399,26.6,2,0,1,22
400,26.67,0,0,1,22
401,26.73,0,0,1,22
402,26.8,0,0,1,22
403,26.87,1,0,1,22
404,26.93,1,0,1,22
405,27.0,0,0,1,22
406,27.07,1,1,1,22
407,27.13,1,1,1,22
408,27.2,1,1,1,22
409,27.27,1,1,1,22
410,27.33,1,1,1,22
411,27.4,1,1,1,22
412,27.47,1,1,1,22
413,27.53,1,1,1,22
414,27.6,1,1,1,22
415,27.67,1,1,1,22
416,27.73,1,1,1,22
417,27.8,3,1,1,23
418,27.87,3,1,1,23
419,27.93,3,1,1,23
420,28.0,2,1,1,23
421,28.07,5,1,1,24
422,28.13,5,1,1,24
423,28.2,5,1,1,24
424,28.27,4,1,1,24
425,28.33,4,1,1,24
426,28.4,4,1,1,24
427,28.47,4,1,1,24
428,28.53,4,1,1,24
429,28.6,4,1,1,24
430,28.67,4,1,1,25
431,28.73,6,1,1,25
432,28.8,6,1,1,25
433,28.87,6,1,1,25
434,28.93,5,1,1,25
435,29.0,4,1,1,25
436,29.07,4,1,1,25
437,29.13,4,1,1,25
438,29.2,4,1,1,25
439,29.27,4,1,1,25
440,29.33,6,1,1,26
441,29.4,4,1,1,26
442,29.47,5,1,1,26
443,29.53,4,1,1,26
444,29.6,4,1,1,26
445,29.67,5,1,1,26
446,29.73,4,1,1,26
447,29.8,4,1,1,26
448,29.87,5,1,1,26
449,29.93,3,1,1,26
450,30.0,4,1,1,27
451,30.07,3,1,1,27
452,30.13,4,1,1,27
453,30.2,3,1,1,27
454,30.27,4,1,1,27
455,30.33,3,1,1,27
456,30.4,3,1,1,27
457,30.47,4,1,1,27
458,30.53,3,1,1,27
459,30.6,5,1,1,28
460,30.67,6,1,1,28
461,30.73,3,1,1,28
462,30.8,4,1,1,28
463,30.87,5,1,1,28
464,30.93,4,1,1,28
465,31.0,4,1,1,28
466,31.07,5,1,1,28
467,31.13,4,1,1,28
468,31.2,4,1,1,28
469,31.27,3,1,1,28
470,31.33,5,1,1,28
471,31.4,4,1,1,28
472,31.47,3,1,1,28
473,31.53,4,1,1,28
474,31.6,4,1,1,28
475,31.67,3,1,1,28
476,31.73,3,1,1,28
477,31.8,2,1,1,28
478,31.87,3,1,1,28
479,31.93,3,1,1,28
480,32.0,2,1,1,28
481,32.07,3,1,1,28
482,32.13,3,1,1,28
483,32.2,4,1,1,28
484,32.27,3,1,1,28
485,32.33,3,1,1,28
486,32.4,2,1,1,28
487,32.47,3,1,1,28
488,32.53,4,1,1,28
489,32.6,5,1,1,28
490,32.67,4,1,1,28
491,32.73,3,1,1,28
492,32.8,4,1,1,29
493,32.87,5,1,1,29
494,32.93,5,1,1,29
495,33.0,5,1,1,29
496,33.07,4,1,1,29
497,33.13,4,1,1,29
498,33.2,5,1,1,29
499,33.27,4,1,1,29
500,33.33,4,1,1,29
501,33.4,4,1,1,29
502,33.47,4,1,1,29
503,33.53,4,1,1,29
504,33.6,3,1,1,29
505,33.67,4,1,1,29
506,33.73,4,1,1,29
507,33.8,4,1,1,29
508,33.87,5,1,1,29
509,33.93,4,1,1,29
510,34.0,5,1,1,29
511,34.07,3,1,1,29
512,34.13,3,1,1,29
513,34.2,3,1,1,29
514,34.27,3,1,1,29
515,34.33,3,1,1,29
516,34.4,3,1,1,29
517,34.47,3,1,1,29
518,34.53,4,1,1,29
519,34.6,4,1,1,29
520,34.67,4,1,1,29
521,34.73,4,1,1,29
522,34.8,4,1,1,29
523,34.87,4,1,1,29
524,34.93,3,1,1,29
525,35.0,3,1,1,29
526,35.07,4,1,1,29
527,35.13,4,1,1,29
528,35.2,3,1,1,29
529,35.27,4,1,1,29
530,35.33,2,1,1,29
531,35.4,2,1,1,29
532,35.47,2,1,1,29
533,35.53,2,1,1,29
534,35.6,2,1,1,29
535,35.67,3,1,1,29
536,35.73,3,1,1,30
537,35.8,3,1,1,30
538,35.87,3,1,1,30
539,35.93,3,1,1,30
540,36.0,1,1,1,30
541,36.07,1,1,1,30
542,36.13,0,1,1,30
543,36.2,2,1,1,30
544,36.27,1,1,1,30
545,36.33,2,1,1,30
546,36.4,2,1,1,30
547,36.47,3,1,1,30
548,36.53,3,1,1,30
549,36.6,3,1,1,30
550,36.67,3,1,1,30
551,36.73,2,1,1,30
552,36.8,2,1,1,30
553,36.87,2,1,1,30
554,36.93,2,1,1,30
555,37.0,2,1,1,30
556,37.07,2,1,1,30
557,37.13,2,1,1,30
558,37.2,2,1,1,30
559,37.27,3,1,1,30
560,37.33,3,1,1,30
561,37.4,3,1,1,30
562,37.47,2,1,1,30
563,37.53,3,1,1,30
564,37.6,3,1,1,30
565,37.67,3,1,1,30
566,37.73,3,1,1,30
567,37.8,3,1,1,30
568,37.87,3,1,1,30
569,37.93,3,1,1,30
570,38.0,3,1,1,30
571,38.07,3,1,1,30
572,38.13,3,1,1,30
573,38.2,3,1,1,30
574,38.27,3,1,1,30
575,38.33,3,1,1,30
576,38.4,3,1,1,30
577,38.47,3,1,1,30
578,38.53,3,1,1,30
579,38.6,3,1,1,30
580,38.67,3,1,1,30
581,38.73,2,1,1,30
582,38.8,3,1,1,30
583,38.87,2,1,1,30
584,38.93,2,1,1,30
585,39.0,2,1,1,30
586,39.07,2,1,1,30
587,39.13,2,1,1,30
588,39.2,3,1,1,30
589,39.27,2,1,1,30
590,39.33,2,1,1,30
591,39.4,2,1,1,30
592,39.47,2,1,1,30
593,39.53,2,1,1,30
594,39.6,3,1,1,30
595,39.67,3,1,1,30
596,39.73,3,1,1,30
597,39.8,3,1,1,30
598,39.87,1,1,1,30
599,39.93,3,1,1,30
600,40.0,3,1,1,30
601,40.07,3,1,1,30
602,40.13,3,1,1,30
603,40.2,3,1,1,30
604,40.27,2,1,1,30
605,40.33,2,1,1,30
606,40.4,2,1,1,30
607,40.47,1,1,1,30
608,40.53,2,1,1,30
609,40.6,2,1,1,30
610,40.67,2,1,1,30
611,40.73,2,1,1,30
612,40.8,2,1,1,30
613,40.87,3,1,1,30
614,40.93,1,1,1,30
615,41.0,2,1,1,30
616,41.07,2,1,1,30
617,41.13,2,1,1,30
618,41.2,1,1,1,30
619,41.27,1,1,1,30
620,41.33,1,1,1,30
621,41.4,1,1,1,30
622,41.47,2,1,1,30
623,41.53,1,1,1,30
624,41.6,1,1,1,30
625,41.67,1,1,1,30
626,41.73,2,1,1,30
627,41.8,3,1,1,31
628,41.87,3,1,1,31
629,41.93,2,1,1,31
630,42.0,3,1,1,31
631,42.07,3,1,1,31
632,42.13,2,1,1,31
633,42.2,3,1,1,31
634,42.27,3,1,1,32
635,42.33,3,1,1,32
636,42.4,3,1,1,32
637,42.47,3,1,1,32
638,42.53,3,1,1,32
639,42.6,3,1,1,32
640,42.67,3,1,1,32
641,42.73,3,1,1,32
642,42.8,3,1,1,32
643,42.87,3,1,1,32
644,42.93,3,1,1,32
645,43.0,2,1,1,32
646,43.07,2,1,1,32
647,43.13,2,1,1,32
648,43.2,3,1,1,33
649,43.27,3,1,1,33
650,43.33,4,1,1,34
651,43.4,3,1,1,34
652,43.47,4,1,1,34
653,43.53,4,1,1,34
654,43.6,4,1,1,34
655,43.67,4,1,1,34
656,43.73,4,1,1,34
657,43.8,4,1,1,34
658,43.87,4,1,1,34
659,43.93,4,1,1,34
660,44.0,4,1,1,34
661,44.07,4,1,1,34
662,44.13,4,1,1,34
663,44.2,4,1,1,34
664,44.27,4,1,1,34
665,44.33,4,1,1,34
666,44.4,4,1,1,34
667,44.47,3,1,1,34
668,44.53,3,1,1,34
669,44.6,2,1,1,34
670,44.67,2,1,1,34
671,44.73,2,1,1,34
672,44.8,2,1,1,34
673,44.87,2,1,1,34
674,44.93,3,1,1,34
675,45.0,3,1,1,34
676,45.07,3,1,1,34
677,45.13,3,1,1,34
678,45.2,2,1,1,34
679,45.27,2,1,1,34
680,45.33,3,1,1,34
681,45.4,2,1,1,34
682,45.47,2,1,1,34
683,45.53,2,1,1,34
684,45.6,2,1,1,34
685,45.67,1,1,1,34
686,45.73,2,1,1,34
687,45.8,2,1,1,34
688,45.87,2,1,1,34
689,45.93,2,1,1,34
690,46.0,2,1,1,34
691,46.07,2,1,1,34
692,46.13,2,1,1,34
693,46.2,1,1,1,34
694,46.27,3,1,1,34
695,46.33,3,1,1,34
696,46.4,1,1,1,34
697,46.47,3,1,1,34
698,46.53,2,1,1,34
699,46.6,2,1,1,34
700,46.67,3,1,1,34
701,46.73,4,1,1,35
702,46.8,4,1,1,35
703,46.87,3,1,1,35
704,46.93,3,1,1,35
705,47.0,3,1,1,35
706,47.07,3,1,1,35
707,47.13,3,1,1,35
708,47.2,3,1,1,35
709,47.27,3,1,1,35
710,47.33,2,1,1,35
711,47.4,3,1,1,35
712,47.47,3,1,1,35
713,47.53,2,1,1,35
714,47.6,2,1,1,35
715,47.67,3,1,1,35
716,47.73,3,1,1,35
717,47.8,3,1,1,35
718,47.87,2,1,1,35
719,47.93,2,1,1,35
720,48.0,2,1,1,35
721,48.07,3,1,1,35
722,48.13,2,1,1,35
723,48.2,2,1,1,35
724,48.27,2,1,1,35
725,48.33,2,1,1,35
726,48.4,2,1,1,35
727,48.47,2,1,1,35
728,48.53,3,1,1,35
729,48.6,3,1,1,35
730,48.67,2,1,1,35
731,48.73,3,1,1,35
732,48.8,3,1,1,35
733,48.87,3,1,1,35
734,48.93,3,1,1,35
735,49.0,2,1,1,35
736,49.07,2,1,1,35
737,49.13,2,1,1,35
738,49.2,2,1,1,35
739,49.27,2,1,1,35
740,49.33,2,1,1,35
741,49.4,0,1,1,35
742,49.47,1,1,1,35
743,49.53,1,1,1,35
744,49.6,1,1,1,35
745,49.67,2,1,1,35
746,49.73,2,1,1,35
747,49.8,2,1,1,35
748,49.87,2,1,1,35
749,49.93,2,1,1,35
750,50.0,1,1,1,35
751,50.07,2,1,1,35
752,50.13,2,1,1,35
753,50.2,1,1,1,35
754,50.27,1,1,1,35
755,50.33,2,1,1,35
756,50.4,2,1,1,35
757,50.47,1,1,1,35
758,50.53,2,1,1,36
759,50.6,1,1,1,36
760,50.67,2,1,1,36
761,50.73,2,1,1,36
762,50.8,1,1,1,36
763,50.87,2,1,1,36
764,50.93,2,1,1,36
765,51.0,3,1,1,36
766,51.07,2,1,1,36
767,51.13,1,1,1,36
768,51.2,0,1,1,36
769,51.27,2,1,1,36
770,51.33,2,1,1,36
771,51.4,3,1,1,36
772,51.47,2,1,1,36
773,51.53,1,1,1,36
774,51.6,2,1,1,36
775,51.67,1,1,1,36
776,51.73,2,1,1,36
777,51.8,1,1,1,36
778,51.87,1,1,1,36
779,51.93,1,1,1,36
780,52.0,1,1,1,36
781,52.07,2,1,1,37
782,52.13,3,1,1,37
783,52.2,3,1,1,37
784,52.27,3,1,1,37
785,52.33,3,1,1,37
786,52.4,3,1,1,37
787,52.47,2,1,1,37
788,52.53,2,1,1,37
789,52.6,2,1,1,37
790,52.67,2,1,1,37
791,52.73,2,1,1,37
792,52.8,4,1,1,37
793,52.87,4,1,1,37
794,52.93,4,1,1,37
795,53.0,3,1,1,37
796,53.07,4,1,1,37
797,53.13,3,1,1,37
798,53.2,3,1,1,37
799,53.27,3,1,1,37
800,53.33,3,1,1,37
801,53.4,3,1,1,37
802,53.47,3,1,1,37
803,53.53,4,1,1,37
804,53.6,4,1,1,37
805,53.67,2,1,1,37
806,53.73,2,1,1,37
807,53.8,2,1,1,37
808,53.87,2,1,1,37
809,53.93,3,1,1,37
810,54.0,2,1,1,37
811,54.07,2,1,1,37
812,54.13,3,1,1,37
813,54.2,2,1,1,37
814,54.27,1,1,1,37
815,54.33,2,1,1,37
816,54.4,2,1,1,37
817,54.47,2,1,1,37
818,54.53,2,1,1,37
819,54.6,3,1,1,37
820,54.67,3,1,1,37
821,54.73,3,1,1,37
822,54.8,3,1,1,37
823,54.87,3,1,1,37
824,54.93,4,1,1,38
825,55.0,4,1,1,38
826,55.07,4,1,1,38
827,55.13,3,1,1,38
828,55.2,3,1,1,38
829,55.27,3,1,1,38
830,55.33,3,1,1,38
831,55.4,3,1,1,38
832,55.47,3,1,1,38
833,55.53,2,1,1,38
834,55.6,2,1,1,38
835,55.67,2,1,1,38
836,55.73,1,1,1,38
837,55.8,2,1,1,38
838,55.87,2,1,1,38
839,55.93,1,1,1,38
840,56.0,3,1,1,38
841,56.07,3,1,1,38
842,56.13,4,1,1,38
843,56.2,4,1,1,38
844,56.27,4,1,1,38
845,56.33,4,1,1,38
846,56.4,4,1,1,38
847,56.47,4,1,1,38
848,56.53,4,1,1,38
849,56.6,4,1,1,38
850,56.67,4,1,1,38
851,56.73,4,1,1,38
852,56.8,4,1,1,38
853,56.87,4,1,1,38
854,56.93,4,1,1,38
855,57.0,4,1,1,38
856,57.07,4,1,1,38
857,57.13,4,1,1,38
858,57.2,4,1,1,38
859,57.27,4,1,1,38
860,57.33,3,1,1,38
861,57.4,3,1,1,38
862,57.47,3,1,1,38
863,57.53,3,1,1,38
864,57.6,3,1,1,38
865,57.67,3,1,1,38
866,57.73,3,1,1,38
867,57.8,3,1,1,38
868,57.87,3,1,1,38
869,57.93,3,1,1,38
870,58.0,3,1,1,38
871,58.07,3,1,1,38
872,58.13,4,1,1,39
873,58.2,3,1,1,39
874,58.27,4,1,1,39
875,58.33,4,1,1,39
876,58.4,3,1,1,39
877,58.47,3,1,1,39
878,58.53,2,1,1,39
879,58.6,1,1,1,39
880,58.67,2,1,1,39
881,58.73,3,1,1,39
882,58.8,3,1,1,39
883,58.87,3,1,1,40
884,58.93,2,1,1,40
885,59.0,3,1,1,40
886,59.07,2,1,1,40
887,59.13,3,1,1,40
888,59.2,2,1,1,40
889,59.27,3,1,1,40
890,59.33,3,1,1,40
891,59.4,3,1,1,40
892,59.47,2,1,1,40
893,59.53,2,1,1,40
894,59.6,3,1,1,40
895,59.67,3,1,1,40
896,59.73,3,1,1,40
897,59.8,4,1,1,40
898,59.87,3,1,1,40
899,59.93,4,1,1,40
