epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,4713.88,1.20561,0.76081,0.00798,0.91472,0.80978,0.89687,0.53996,1.42135,0.73753,0.01155,0.0011024,0.0011024,0.0011024
70,4786.73,1.17939,0.72433,0.00779,0.92376,0.80093,0.89049,0.53539,1.42731,0.74461,0.01156,0.0010892,0.0010892,0.0010892
71,4853.42,1.18615,0.74607,0.0078,0.90661,0.81479,0.89316,0.53235,1.44735,0.72783,0.01173,0.001076,0.001076,0.001076
72,4919.8,1.19555,0.73591,0.00781,0.92032,0.80868,0.89285,0.533,1.42894,0.73542,0.01158,0.0010628,0.0010628,0.0010628
73,4986.06,1.17011,0.72733,0.00779,0.90552,0.8125,0.89211,0.53787,1.42742,0.75152,0.01161,0.0010496,0.0010496,0.0010496
74,5056.34,1.17155,0.72352,0.0077,0.89861,0.81866,0.89382,0.53857,1.42386,0.7311,0.01144,0.0010364,0.0010364,0.0010364
75,5126.67,1.16076,0.71971,0.00778,0.91375,0.80135,0.89014,0.5401,1.41339,0.73851,0.01129,0.0010232,0.0010232,0.0010232
76,5201.33,1.18024,0.71948,0.0077,0.89376,0.82317,0.89354,0.53783,1.43477,0.73009,0.01156,0.00101,0.00101,0.00101
77,5267.54,1.15668,0.70121,0.00759,0.90818,0.82178,0.89964,0.54298,1.41563,0.72707,0.01144,0.0009968,0.0009968,0.0009968
78,5338.08,1.1606,0.69583,0.00765,0.90884,0.82033,0.89773,0.54047,1.43934,0.73305,0.01156,0.0009836,0.0009836,0.0009836
79,5404.5,1.14976,0.70969,0.00756,0.92386,0.81366,0.90181,0.54534,1.42043,0.73208,0.0114,0.0009704,0.0009704,0.0009704
80,5473.63,1.12249,0.67592,0.00751,0.90797,0.81561,0.89372,0.5396,1.42262,0.73704,0.0114,0.0009572,0.0009572,0.0009572
81,5541.83,1.13595,0.68,0.00753,0.92182,0.81316,0.89674,0.54278,1.42325,0.73484,0.01144,0.000944,0.000944,0.000944
82,5607.99,1.12891,0.6891,0.00754,0.90379,0.82806,0.89639,0.53915,1.41889,0.71706,0.01124,0.0009308,0.0009308,0.0009308
83,5674.66,1.13485,0.68921,0.00747,0.91915,0.8199,0.90325,0.54442,1.42411,0.71737,0.01145,0.0009176,0.0009176,0.0009176
84,5740.93,1.13645,0.67365,0.00747,0.9202,0.81442,0.89304,0.54022,1.42635,0.75649,0.01139,0.0009044,0.0009044,0.0009044
