epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
103,7012.62,1.00087,0.58609,0.00683,0.91261,0.81921,0.88695,0.53716,1.42881,0.76096,0.01134,0.0006536,0.0006536,0.0006536
104,7080.5,0.98951,0.5729,0.00687,0.92062,0.81864,0.89254,0.54004,1.42845,0.74951,0.01141,0.0006404,0.0006404,0.0006404
105,7147.65,0.98971,0.57833,0.00667,0.92875,0.81358,0.89501,0.54527,1.4207,0.72348,0.01132,0.0006272,0.0006272,0.0006272
106,7216.22,0.98296,0.57431,0.00678,0.91146,0.83367,0.8964,0.54516,1.41552,0.7187,0.01129,0.000614,0.000614,0.000614
107,7283.82,0.97242,0.56905,0.00696,0.91614,0.82328,0.89126,0.54284,1.42175,0.74313,0.01136,0.0006008,0.0006008,0.0006008
108,7351.16,0.98623,0.57471,0.00676,0.90835,0.82876,0.89194,0.5418,1.42949,0.74182,0.01144,0.0005876,0.0005876,0.0005876
109,7419.24,0.97751,0.58366,0.00672,0.93,0.81105,0.89097,0.54206,1.42222,0.74648,0.01135,0.0005744,0.0005744,0.0005744
110,7486.69,0.96964,0.55797,0.00668,0.91768,0.82033,0.88939,0.54094,1.42856,0.74523,0.01138,0.0005612,0.0005612,0.0005612
111,7554.23,0.96155,0.54481,0.00659,0.91411,0.82141,0.89079,0.54013,1.43584,0.73998,0.01144,0.000548,0.000548,0.000548
112,7621.95,0.95781,0.54887,0.00665,0.92723,0.80978,0.89167,0.54206,1.42837,0.73795,0.01137,0.0005348,0.0005348,0.0005348
113,7689.63,0.9601,0.55259,0.00657,0.90639,0.82539,0.89384,0.54336,1.42382,0.73259,0.01128,0.0005216,0.0005216,0.0005216
114,7757.17,0.95998,0.54376,0.00668,0.92509,0.80599,0.89008,0.53942,1.4281,0.74976,0.01131,0.0005084,0.0005084,0.0005084
115,7824.66,0.94971,0.54502,0.00669,0.90142,0.82917,0.89077,0.5405,1.42367,0.73629,0.01118,0.0004952,0.0004952,0.0004952
116,7892.1,0.9472,0.53548,0.0065,0.91362,0.82076,0.88994,0.54008,1.43422,0.75134,0.01133,0.000482,0.000482,0.000482
117,7959.4,0.94005,0.53474,0.00641,0.92056,0.81617,0.88967,0.54193,1.42821,0.74181,0.01132,0.0004688,0.0004688,0.0004688
118,8026.96,0.93671,0.53011,0.00642,0.90823,0.82651,0.8889,0.54195,1.42342,0.74376,0.0113,0.0004556,0.0004556,0.0004556
119,8094.74,0.94448,0.53979,0.00652,0.91932,0.82179,0.88944,0.54297,1.42286,0.72668,0.01134,0.0004424,0.0004424,0.0004424
120,8162.12,0.9315,0.53425,0.00641,0.89344,0.831,0.889,0.54038,1.42386,0.74495,0.01126,0.0004292,0.0004292,0.0004292
121,8229.23,0.92857,0.52255,0.00626,0.89539,0.82792,0.88798,0.54143,1.42497,0.74413,0.01135,0.000416,0.000416,0.000416
122,8296.49,0.9301,0.52677,0.00638,0.8973,0.83172,0.88795,0.54285,1.42344,0.75543,0.01125,0.0004028,0.0004028,0.0004028
123,8364.43,0.92132,0.52419,0.00633,0.90552,0.83276,0.8893,0.5444,1.43056,0.7538,0.01132,0.0003896,0.0003896,0.0003896
124,8431.73,0.91473,0.51647,0.00639,0.90189,0.8336,0.88872,0.54569,1.42697,0.75668,0.01136,0.0003764,0.0003764,0.0003764
125,8500.53,0.90779,0.52016,0.00612,0.92083,0.81436,0.88789,0.54435,1.42392,0.75972,0.01135,0.0003632,0.0003632,0.0003632
126,8567.81,0.90379,0.52185,0.00623,0.92325,0.8168,0.88775,0.54591,1.4184,0.75636,0.01126,0.00035,0.00035,0.00035
127,8635.84,0.9028,0.5067,0.00615,0.92743,0.81695,0.88778,0.54465,1.42052,0.76404,0.01132,0.0003368,0.0003368,0.0003368
128,8703.44,0.90297,0.52529,0.00609,0.93119,0.80479,0.88651,0.54251,1.43102,0.77123,0.01139,0.0003236,0.0003236,0.0003236
129,8771.24,0.89783,0.50758,0.00606,0.92747,0.80354,0.88501,0.54079,1.43439,0.77587,0.01138,0.0003104,0.0003104,0.0003104
130,8838.53,0.89728,0.50586,0.00615,0.90093,0.82846,0.88575,0.53962,1.43447,0.77398,0.01138,0.0002972,0.0002972,0.0002972
131,8913.33,0.78785,0.34373,0.00589,0.91012,0.83045,0.88799,0.54075,1.43602,0.77461,0.01142,0.000284,0.000284,0.000284
132,8978.75,0.7743,0.34295,0.00564,0.9041,0.83045,0.88643,0.53894,1.4368,0.78323,0.01144,0.0002708,0.0002708,0.0002708
133,9044.37,0.76669,0.3464,0.0056,0.90853,0.82947,0.88757,0.54113,1.43969,0.77765,0.0115,0.0002576,0.0002576,0.0002576
134,9112.11,0.75586,0.33715,0.0056,0.90947,0.82666,0.88612,0.53989,1.43696,0.79583,0.01147,0.0002444,0.0002444,0.0002444
135,9181.73,0.75852,0.34341,0.00553,0.91985,0.81738,0.88534,0.54017,1.43256,0.80929,0.0114,0.0002312,0.0002312,0.0002312
136,9247.12,0.74876,0.33146,0.00545,0.91959,0.81519,0.88554,0.54072,1.43026,0.79747,0.0114,0.000218,0.000218,0.000218
137,9315.15,0.75525,0.32854,0.00549,0.91546,0.81695,0.88529,0.54065,1.43148,0.79031,0.01145,0.0002048,0.0002048,0.0002048
138,9380.7,0.74967,0.32972,0.00537,0.91906,0.81411,0.88217,0.53836,1.43346,0.79459,0.01146,0.0001916,0.0001916,0.0001916
139,9446.2,0.74304,0.32523,0.00541,0.9216,0.81805,0.88108,0.53635,1.43476,0.80926,0.01146,0.0001784,0.0001784,0.0001784
140,9513.55,0.73721,0.32545,0.00532,0.92321,0.81738,0.88313,0.53811,1.43646,0.80636,0.01141,0.0001652,0.0001652,0.0001652
141,9583.33,0.73169,0.32279,0.00531,0.92382,0.81328,0.88501,0.53984,1.43372,0.80738,0.01139,0.000152,0.000152,0.000152
142,9648.91,0.73093,0.31834,0.00522,0.92083,0.81611,0.88471,0.53844,1.4335,0.8076,0.01139,0.0001388,0.0001388,0.0001388
143,9716.45,0.73001,0.32184,0.00519,0.90612,0.82834,0.88229,0.53976,1.4339,0.80756,0.01138,0.0001256,0.0001256,0.0001256
144,9781.88,0.72575,0.31414,0.00519,0.92181,0.82043,0.8826,0.53891,1.43179,0.8045,0.01138,0.0001124,0.0001124,0.0001124
145,9847.15,0.72464,0.31714,0.00516,0.91295,0.82715,0.88235,0.53892,1.43248,0.80746,0.01139,9.92e-05,9.92e-05,9.92e-05
146,9912.52,0.72397,0.31856,0.00515,0.91639,0.82623,0.8818,0.53845,1.43405,0.80511,0.01139,8.6e-05,8.6e-05,8.6e-05
147,9977.67,0.71904,0.31443,0.00519,0.90735,0.83087,0.88149,0.53932,1.43274,0.80804,0.01139,7.28e-05,7.28e-05,7.28e-05
148,10044.6,0.71746,0.31363,0.00511,0.91164,0.82581,0.88133,0.53872,1.4315,0.81146,0.01135,5.96e-05,5.96e-05,5.96e-05
149,10114.7,0.71952,0.31906,0.00514,0.91661,0.82286,0.88209,0.53917,1.43182,0.81256,0.01137,4.64e-05,4.64e-05,4.64e-05
150,10179.8,0.71987,0.31266,0.0051,0.92054,0.8178,0.88181,0.53918,1.43142,0.81448,0.01137,3.32e-05,3.32e-05,3.32e-05
