epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,1680.83,1.26713,0.76926,0.00864,0.87284,0.61535,0.70044,0.37182,1.7689,1.51627,0.0154,0.0012608,0.0012608,0.0012608
58,1711.73,1.24976,0.77339,0.00849,0.85242,0.57022,0.64176,0.33779,1.84912,1.71612,0.01659,0.0012476,0.0012476,0.0012476
59,1739.32,1.24843,0.75529,0.00833,0.85724,0.61543,0.68675,0.3568,1.83511,1.58929,0.01641,0.0012344,0.0012344,0.0012344
60,1769.84,1.24875,0.75641,0.00828,0.85555,0.622,0.69968,0.36531,1.79555,1.57782,0.01614,0.0012212,0.0012212,0.0012212
61,1797.44,1.24961,0.75008,0.00817,0.84097,0.59131,0.6547,0.33607,1.86875,1.82989,0.01693,0.001208,0.001208,0.001208
62,1825.3,1.20836,0.72669,0.00797,0.84146,0.60665,0.69203,0.36689,1.74726,1.57513,0.01532,0.0011948,0.0011948,0.0011948
63,1853.18,1.22987,0.72654,0.00828,0.86542,0.63138,0.71221,0.3729,1.82419,1.5023,0.01665,0.0011816,0.0011816,0.0011816
64,1880.82,1.25439,0.73455,0.00833,0.87603,0.64066,0.72363,0.38893,1.73649,1.44627,0.0155,0.0011684,0.0011684,0.0011684
65,1908.54,1.23296,0.73552,0.0081,0.85295,0.59445,0.67359,0.34504,1.8612,1.59397,0.01682,0.0011552,0.0011552,0.0011552
66,1939.42,1.21688,0.72143,0.00795,0.86591,0.58557,0.6685,0.3619,1.76069,1.79897,0.01606,0.001142,0.001142,0.001142
67,1967.29,1.19694,0.71123,0.00785,0.86056,0.63774,0.70753,0.37913,1.7682,1.5352,0.01596,0.0011288,0.0011288,0.0011288
68,1997.91,1.20469,0.73259,0.00817,0.85122,0.65162,0.72018,0.37905,1.76895,1.45138,0.01555,0.0011156,0.0011156,0.0011156
69,2025.74,1.18227,0.71999,0.00813,0.88417,0.62505,0.71608,0.3785,1.78303,1.53674,0.01609,0.0011024,0.0011024,0.0011024
70,2057.29,1.19182,0.71796,0.00775,0.88101,0.63897,0.7294,0.38835,1.75793,1.42174,0.01557,0.0010892,0.0010892,0.0010892
71,2084.98,1.19237,0.69266,0.00794,0.86182,0.61746,0.69333,0.36385,1.82312,1.62698,0.01621,0.001076,0.001076,0.001076
72,2112.74,1.17298,0.68701,0.00803,0.83772,0.60987,0.68722,0.36625,1.77776,1.60649,0.0159,0.0010628,0.0010628,0.0010628
73,2140.46,1.16799,0.69302,0.00775,0.85289,0.64553,0.71557,0.38073,1.79301,1.49426,0.01627,0.0010496,0.0010496,0.0010496
74,2171.7,1.17336,0.69175,0.00776,0.87557,0.61729,0.70112,0.37355,1.7903,1.59991,0.01652,0.0010364,0.0010364,0.0010364
75,2201.08,1.15082,0.68712,0.00769,0.83919,0.60481,0.6796,0.36138,1.78433,1.66141,0.0163,0.0010232,0.0010232,0.0010232
76,2232.04,1.16553,0.67702,0.00761,0.87081,0.60839,0.68547,0.36486,1.79478,1.69034,0.0165,0.00101,0.00101,0.00101
77,2262.76,1.14623,0.65791,0.00755,0.85874,0.61533,0.68175,0.36833,1.7592,1.67502,0.01568,0.0009968,0.0009968,0.0009968
78,2291.88,1.15101,0.66799,0.0077,0.83633,0.60991,0.67805,0.35149,1.82522,1.58802,0.01638,0.0009836,0.0009836,0.0009836
79,2319.27,1.134,0.67174,0.00749,0.89066,0.60903,0.69948,0.37837,1.74898,1.61498,0.01568,0.0009704,0.0009704,0.0009704
80,2347.01,1.13712,0.67167,0.00746,0.8406,0.59975,0.66854,0.36158,1.81287,1.75132,0.01674,0.0009572,0.0009572,0.0009572
